pid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,total_amount
676917,1610967944,1610968196,1,1.28,NV,NV,Credit Card,5.5,2.2,11.0
394088,1610379576,1610380424,1,2.55,Lenox Hill East,Lincoln Square West,Credit Card,11.5,2.96,17.76
601026,1610748608,1610749159,1,2.5,Upper East Side South,Penn Station/Madison Sq West,Credit Card,9.5,3.95,17.25
518532,1610623456,1610624762,2,3.49,Garment District,Manhattan Valley,Cash,16.0,0.0,19.3
222121,1610017347,1610017862,1,1.62,Upper East Side North,Lenox Hill West,Credit Card,8.0,2.26,13.56
952084,1611503583,1611504351,1,3.13,Union Sq,Lincoln Square East,Credit Card,12.0,3.06,18.36
940874,1611483487,1611483797,1,1.01,East Harlem North,East Harlem North,Cash,5.5,0.0,6.3
392539,1610377574,1610377792,1,0.72,Flatiron,East Chelsea,Cash,5.0,0.0,8.3
217295,1610011124,1610011534,1,1.64,Murray Hill,Greenwich Village North,Cash,7.5,0.0,10.8
771074,1611148361,1611148570,1,0.53,Yorkville West,Upper East Side North,Credit Card,4.0,1.1,8.4
259320,1610094264,1610095007,1,2.13,East Chelsea,Midtown Center,Credit Card,10.5,2.76,16.56
42892,1609603937,1609604265,1,1.12,UN/Turtle Bay South,Lenox Hill East,Cash,6.0,0.0,9.3
222764,1610019273,1610019674,1,2.02,UN/Turtle Bay South,Lenox Hill East,Credit Card,8.0,2.26,13.56
677074,1610967649,1610967877,1,0.95,Midtown East,Lenox Hill West,Cash,5.0,0.0,8.3
558461,1610699443,1610699991,1,2.18,Midtown East,Greenwich Village South,Credit Card,9.0,3.69,15.99
427337,1610454029,1610454654,1,2.17,East Chelsea,Lincoln Square West,Cash,9.5,0.0,12.8
498780,1610565321,1610566133,1,3.11,Midtown South,Lincoln Square West,Cash,12.0,0.0,16.3
52599,1609624204,1609624650,1,1.3,Clinton East,Flatiron,Cash,7.0,0.0,10.8
523991,1610630875,1610632972,1,19.4,JFK Airport,South Williamsburg,Cash,52.0,0.0,52.8
540682,1610645080,1610646696,1,10.92,LaGuardia Airport,Midtown North,Cash,-32.5,0.0,-42.92
733861,1611074068,1611074969,1,3.43,Midtown North,Central Harlem,Credit Card,13.0,3.46,20.76
656270,1610895855,1610896546,1,2.5,NV,Upper East Side South,Credit Card,10.5,1.5,15.3
265863,1610100694,1610101074,1,0.6,Gramercy,Stuy Town/Peter Cooper Village,Credit Card,6.0,2.2,11.5
571269,1610715142,1610715349,5,1.37,East Harlem North,East Harlem South,Cash,5.5,0.0,6.3
213537,1610008266,1610008616,1,1.4,Upper East Side South,Midtown South,Credit Card,6.5,1.0,10.8
311976,1610195373,1610195869,1,1.2,Sunnyside,Sunnyside,Dispute,7.5,0.0,8.3
187412,1609942688,1609943850,2,4.23,Upper West Side South,Greenwich Village North,Credit Card,16.5,4.95,24.75
1236694,1612036421,1612036880,2,1.95,Clinton East,East Chelsea,Credit Card,8.0,2.26,13.56
1226076,1612020178,1612020635,1,1.26,Murray Hill,Greenwich Village North,Credit Card,7.0,2.06,12.36
1082313,1611760788,1611761519,1,1.68,Kips Bay,Garment District,Credit Card,9.5,2.56,15.36
1000277,1611594014,1611594249,3,0.51,Midtown East,Sutton Place/Turtle Bay North,Credit Card,5.0,1.86,11.16
