tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,total_amount
1611267885,1611270209,1,21.7,JFK Airport,Carroll Gardens,Credit Card,60.5,12.35,74.15
1610627732,1610627765,1,0.1,Penn Station/Madison Sq West,Penn Station/Madison Sq West,Dispute,2.5,0.0,5.8
1610456431,1610456953,1,1.76,Midtown Center,East Chelsea,Credit Card,8.5,2.36,14.16
1612118653,1612119344,1,2.1,East Harlem North,Central Harlem North,Credit Card,10.0,0.0,10.8
1611313123,1611313479,1,1.46,Upper East Side North,Upper West Side North,Credit Card,6.5,2.94,12.74
1611944230,1611945434,2,4.03,Lenox Hill West,Greenwich Village South,Credit Card,16.0,2.03,22.33
1612090784,1612090976,1,0.37,East Village,East Village,Cash,4.0,0.0,7.3
1610952262,1610952848,1,1.68,Penn Station/Madison Sq West,UN/Turtle Bay South,Credit Card,8.5,3.54,15.34
1610966254,1610967007,1,1.96,Yorkville East,Midtown East,Credit Card,10.5,2.76,16.56
1610287078,1610289456,1,18.81,JFK Airport,SoHo,Credit Card,52.0,12.28,73.7
1611184432,1611184726,1,1.2,Penn Station/Madison Sq West,West Village,Cash,6.0,0.0,9.8
1610108373,1610108608,3,0.54,Central Park,Yorkville West,Credit Card,4.5,1.56,9.36
1611324531,1611325631,2,2.84,East Harlem North,Lenox Hill East,Credit Card,13.5,3.36,20.16
1611502223,1611502991,1,2.07,Upper West Side North,Upper East Side North,Credit Card,10.5,2.07,15.87
1610962327,1610963044,1,3.27,East Chelsea,Upper East Side South,Credit Card,12.0,3.06,18.36
1610564475,1610564938,1,2.4,UN/Turtle Bay South,East Village,Credit Card,9.0,2.0,15.3
1610024782,1610024959,1,0.67,Clinton East,Lincoln Square West,Credit Card,4.5,1.95,9.75
1610456586,1610457010,1,1.3,Central Harlem,Manhattan Valley,Credit Card,7.5,1.66,9.96
1611771608,1611772343,2,2.86,Midtown South,Upper West Side South,Credit Card,11.5,0.0,15.8
1610557067,1610557320,1,0.8,Midtown Center,Upper East Side South,Credit Card,5.5,1.0,10.8
1610101515,1610101872,2,1.05,Upper East Side North,Midtown East,Cash,6.0,0.0,9.3
1611738436,1611738883,1,0.99,UN/Turtle Bay South,Midtown South,Credit Card,6.5,1.47,11.27
1612114259,1612115234,1,4.04,West Chelsea/Hudson Yards,Lenox Hill West,Cash,15.0,0.0,18.3
1612035406,1612036409,1,4.1,Greenwich Village South,Lincoln Square West,Credit Card,15.0,3.66,21.96
1611236658,1611236900,1,0.83,Murray Hill,Union Sq,Credit Card,5.0,1.66,9.96
1610611564,1610612162,1,2.23,Central Park,West Chelsea/Hudson Yards,Cash,9.0,0.0,12.3
1610895193,1610895265,1,0.3,Clinton East,Clinton East,Credit Card,3.0,1.25,7.55
1610969437,1610969982,1,1.1,Times Sq/Theatre District,Clinton East,Credit Card,7.5,2.15,12.95
1610182989,1610183423,1,1.9,Upper East Side North,Midtown North,Credit Card,8.0,2.8,14.1
1609613520,1609613746,1,0.64,Midtown North,Lincoln Square East,Credit Card,4.5,1.0,8.8
1610637013,1610637351,1,1.08,Midtown East,Lenox Hill West,Cash,6.0,0.0,9.3
1610468043,1610469812,6,5.34,Lenox Hill East,Meatpacking/West Village West,Credit Card,23.5,5.56,33.36
1610379833,1610381002,1,5.57,Lenox Hill West,West Village,Credit Card,19.5,2.0,24.8
1610445885,1610446415,1,0.7,Upper East Side South,Lenox Hill East,Cash,7.0,0.0,10.3
1610845012,1610846291,1,5.1,Lenox Hill East,Steinway,Credit Card,19.5,3.5,26.8
1611006028,1611006598,1,2.5,Little Italy/NoLiTa,Murray Hill,Credit Card,10.0,2.0,15.8
1610132234,1610132497,1,1.1,UN/Turtle Bay South,Lenox Hill West,Credit Card,5.5,1.95,11.75
1610390317,1610390479,1,0.4,Lenox Hill West,Upper East Side South,Credit Card,4.0,1.65,9.95
1611140598,1611141403,1,3.0,Upper West Side North,Midtown Center,Credit Card,12.0,3.05,18.35
1610545656,1610546543,2,3.24,Lenox Hill East,Gramercy,Credit Card,13.5,4.2,21.0
1611228089,1611228390,2,0.84,Upper East Side North,Upper East Side South,Credit Card,5.5,1.76,10.56
1611084051,1611084542,2,1.88,Murray Hill,Lenox Hill West,Credit Card,8.0,3.08,15.38
1609854279,1609854608,1,1.1,NV,Midtown South,Credit Card,6.0,1.86,11.16
1611937651,1611938368,1,1.69,Upper East Side South,Midtown Center,Credit Card,9.5,3.45,17.25
1611854225,1611854628,1,0.85,Midtown South,Gramercy,Credit Card,6.0,3.09,13.39
1610211628,1610212380,1,2.81,Midtown East,West Village,Credit Card,11.5,2.96,17.76
1609857806,1609858386,1,1.6,East Chelsea,Gramercy,Credit Card,8.0,2.26,13.56
1609617420,1609618935,1,5.7,Two Bridges/Seward Park,Lincoln Square West,Credit Card,22.0,5.16,30.96
1611684132,1611684503,1,1.1,Union Sq,Penn Station/Madison Sq West,Credit Card,6.5,3.2,14.0
1611419988,1611420553,1,1.6,Upper West Side North,Lenox Hill West,Credit Card,8.0,1.0,12.3
1610622731,1610622826,1,0.4,Murray Hill,Union Sq,Credit Card,3.5,1.0,7.8
1610468637,1610469993,1,7.91,Upper East Side North,Financial District North,Credit Card,25.0,5.86,35.16
1611181157,1611182172,1,4.96,NV,Manhattan Valley,Credit Card,16.5,3.04,23.34
1611819315,1611819604,1,0.6,Lenox Hill West,Midtown North,Cash,5.0,0.0,8.3
1612114925,1612117227,2,22.01,JFK Airport,NA,Credit Card,66.0,14.58,87.5
1611051286,1611052105,1,2.87,Upper West Side South,East Chelsea,Credit Card,11.5,2.22,17.02
1610902877,1610903382,1,1.73,Lincoln Square East,Upper West Side North,Credit Card,8.0,2.26,13.56
1611822390,1611824358,1,7.85,Washington Heights South,Kips Bay,Cash,27.5,0.0,30.8
1610227837,1610228507,2,3.1,West Village,Clinton West,Cash,11.5,0.0,15.3
1611415993,1611416153,1,0.71,Lenox Hill West,Yorkville West,Credit Card,4.0,1.46,8.76
1611839354,1611839660,2,0.6,Yorkville West,Yorkville East,Cash,5.0,0.0,8.3
1611573084,1611574245,3,3.49,Central Park,Murray Hill,Credit Card,15.0,2.74,21.04
1610642644,1610645004,1,10.5,TriBeCa/Civic Center,Washington Heights South,Cash,33.0,0.0,37.3
1610053820,1610054202,1,1.65,Midtown Center,Upper East Side North,Credit Card,7.0,2.16,12.96
1611646760,1611647221,1,2.27,Upper East Side North,Midtown Center,Credit Card,8.5,1.5,13.3
1611449619,1611450051,1,3.3,Steinway,East Harlem North,Credit Card,11.5,4.7,23.62
1609956643,1609957157,2,2.1,Little Italy/NoLiTa,Penn Station/Madison Sq West,Credit Card,8.5,2.55,15.35
1610564577,1610564827,1,0.94,Lincoln Square East,Upper West Side South,Cash,5.0,0.0,9.3
1611931482,1611932588,1,1.7,Mott Haven/Port Morris,East Concourse/Concourse Village,Cash,11.5,0.0,12.3
1611739717,1611740159,1,1.9,Central Harlem North,Central Park,Credit Card,8.0,1.2,10.0
1611251643,1611252137,1,2.36,Kips Bay,Lenox Hill West,Credit Card,9.0,2.66,15.96
1609694638,1609695922,1,10.3,LaGuardia Airport,Stuy Town/Peter Cooper Village,Credit Card,29.5,3.0,35.8
1610119995,1610120167,1,0.54,Flatiron,Penn Station/Madison Sq West,Cash,4.5,0.0,7.8
1611425800,1611425993,1,0.6,Upper East Side North,Upper East Side North,Cash,4.5,0.0,7.8
1611518555,1611519086,1,1.73,Central Harlem,Central Harlem North,Credit Card,7.5,2.2,11.0
1610787844,1610788602,1,4.41,Upper East Side North,Kips Bay,Credit Card,15.0,2.0,20.3
1610134337,1610135318,4,5.0,Upper West Side North,West Chelsea/Hudson Yards,Credit Card,17.5,1.0,22.8
1610095542,1610096256,1,2.06,East Village,TriBeCa/Civic Center,Credit Card,10.0,2.66,15.96
1612005257,1612006998,3,8.46,Fort Greene,Upper West Side South,Credit Card,28.5,1.0,32.8
1611352721,1611353435,2,3.9,East Village,Lenox Hill East,Credit Card,13.5,3.45,20.75
1609882303,1609882589,1,1.0,East Harlem North,Yorkville West,Credit Card,5.5,2.75,12.05
1610294549,1610296880,1,19.0,JFK Airport,Morningside Heights,Credit Card,52.0,14.7,73.62
1610964203,1610964666,1,2.44,Lower East Side,Seaport,Credit Card,10.0,3.33,16.63
1610468451,1610469298,3,2.52,Midtown North,East Chelsea,Cash,11.5,0.0,15.8
1610442057,1610442598,1,0.74,Garment District,Murray Hill,Cash,7.0,0.0,10.3
